Genes	Inflammatory	Goblet-like	Enterocyte	TA	Stem-like
LOX	0.0199	-0.1362	0	-0.1302	0.451
POSTN	0.0134	-0.1739	0	-0.1652	0.4507
ECM2	0	0	-0.1134	0	0.4489
LHFP	0	-0.0428	0	-0.0242	0.4474
SERPINF1	0	-0.0925	0	-0.0896	0.4419
NNMT	0	0	0	-0.2092	0.4393
PTGIS	0	-0.045	0	0	0.4345
MYLK	0	-0.1502	0	-0.0126	0.4325
MAP1B	0	0	0	0	0.4315
CALD1	0	-0.0892	0	-0.045	0.4304
GREM1	0	-0.1838	0	-0.2011	0.4289
COL5A1	0	-0.0193	0	-0.0705	0.4235
CNN1	0	-0.0372	0	-0.0098	0.4179
TIMP3	0	-0.3013	0	0	0.4153
COL6A2	0	-0.0842	0	-0.1669	0.4137
ZEB1	0	-0.0686	0	0	0.4121
PPAPDC1A	0	0	-0.1524	0	0.408
OLFML2B	0	-0.0094	-0.0578	-0.0358	0.406
HTRA1	0	0	0	-0.0049	0.4052
CXCL12	0	-0.066	0	-0.0859	0.4029
DPYSL3	0	0	-0.1132	0	0.4021
PDGFC	0	0	0	-0.0277	0.401
COL6A3	0	-0.1016	0	-0.0802	0.4004
COL1A1	0	-0.1083	0	-0.0322	0.3978
MYH11	-0.0744	-0.0394	0	0	0.3941
AOC3	0	-0.041	0	-0.0664	0.3934
SPARCL1	0	-0.0965	0	-0.1647	0.3929
COL12A1	0	0	0	-0.0187	0.3927
GPNMB	0.2398	-0.1173	0	-0.2938	0.3894
BCAT1	0.1813	-0.1075	-0.1043	-0.1465	0.3875
PHLDB2	0	0	0	-0.1801	0.3844
SERPING1	0.1257	-0.1389	0	-0.2161	0.3804
TPM2	0	-0.1117	0	0	0.3803
TGFB1I1	0	0	0	-0.0126	0.3768
MITF	0	0	0	-0.1126	0.3768
GPC6	0	-0.1114	0	-0.055	0.3739
NEXN	0.0814	-0.164	0	-0.1467	0.3736
MMP2	0	-0.0197	0	-0.0948	0.3709
FAM129A	0.1134	-0.1219	0	-0.2347	0.3671
ADAMTS2	0.0641	-0.1371	0	-0.1016	0.3646
FIBIN	0	0	-0.0298	0	0.3634
TMEM47	0	-0.1286	0	0	0.3621
IGFBP5	0	-0.2048	0	-0.0485	0.3611
TNFAIP6	0.2379	-0.1454	-0.0983	-0.149	0.3595
MXRA5	0	-0.0162	-0.0296	-0.001	0.3594
ARL4C	0.1305	-0.0848	-0.0129	-0.1572	0.359
EPYC	0	0	-0.0864	0	0.3551
COL15A1	0	-0.0768	0	-0.147	0.3536
LMOD1	0	0	0	0	0.351
FN1	0	-0.1868	-0.062	0	0.351
DPT	0	-0.016	0	0	0.3467
GNB4	0.159	-0.158	0	-0.1867	0.3441
TWIST1	0	-0.0276	0	0	0.3422
SDC2	0	-0.0673	0	0	0.3405
FLRT2	0	-0.0275	0	0	0.3377
LOXL1	0	0	-0.0073	-0.0971	0.3372
FHL1	-0.1256	0	0	-0.0116	0.3365
MAB21L2	0	-0.0568	0	0	0.3358
SSPN	0	0	0	-0.0433	0.3358
CTSK	0	-0.074	0	-0.0411	0.3336
WWTR1	0	-0.1856	0	-0.0028	0.3325
CYBRD1	0	-0.0268	0	-0.0662	0.329
CLIP4	0	-0.0923	0	-0.1143	0.3283
ZEB2	0	-0.1273	0	-0.1365	0.3267
SYNM	0	-0.0164	0	0	0.3223
SNAI2	0	-0.0348	0	-0.0455	0.3213
DES	0	0	0	0	0.3147
IGF1	-0.014	0	0	0	0.3133
TNC	0	-0.1062	0	-0.1138	0.3128
GUCY1A3	0	-0.1277	0	-0.0191	0.3077
GULP1	0	-0.1147	0	0	0.3058
TMEM45A	0.0313	0	-0.0696	-0.2556	0.3047
C3	0	-0.0565	0	-0.1239	0.3027
VCAM1	0.0117	-0.0382	0	-0.1361	0.3024
AHNAK2	0	0	-0.0576	-0.0272	0.3022
ACTG2	0	-0.0303	0	0	0.3016
KAL1	0	0	-0.0417	0	0.2927
FLNA	0	-0.083	0	0	0.2923
CYR61	0	0	0	-0.1072	0.2894
NR3C1	0.0048	-0.1514	0	-0.1891	0.2873
DSE	0.1549	-0.0464	0	-0.1602	0.2871
PMP22	0	0	0	-0.1767	0.2832
RBMS1	0	-0.262	0	0	0.2827
SMARCA1	0	0	-0.0477	0	0.2797
MAFB	0.2127	-2.00E-04	0	-0.2472	0.2746
MAF	0	-0.1091	0	-0.0921	0.2734
QKI	0.0273	-0.1498	0	-0.0453	0.2713
MMP11	0	-0.0176	0	0	0.265
CD109	0.1778	0	-0.0866	-0.1737	0.262
SRPX	0	0	0	-0.045	0.2609
EDNRA	0	-0.1215	0	0	0.2602
THBS1	0	-0.1967	0	0	0.2592
SLC2A3	0.1804	-0.0548	-0.0582	-0.1109	0.2585
CHRDL1	0	-0.0152	0	0	0.2566
APOD	-0.0583	0	0	0	0.2543
RUNX2	0	0	-0.0489	0	0.2543
COL14A1	0	0	0	0	0.2536
GPX3	0	0	0	-0.0397	0.2519
UBE2E2	0.0158	0	0	-0.0714	0.2511
GEM	0	-0.0542	0	0	0.2508
LY96	0.24	-0.0506	0	-0.2613	0.2481
FAM126A	0	-0.0339	0	0	0.2475
ANK2	0	0	0	0	0.2474
CTGF	0	-0.0021	0	-0.014	0.2453
SORBS1	-0.1716	-0.1959	0	0.0931	0.2448
RGS2	0.1026	0	0	-0.2979	0.2431
C1S	0	0	0	-0.0506	0.2405
CD36	0	0	0	-0.0184	0.2401
NRP1	0.1361	-0.032	0	-0.1398	0.2378
KLHL5	0	-0.0881	0	0	0.2345
CFH	0	0	0	-0.1274	0.2341
SPP1	0.2055	0	-0.089	-0.161	0.2331
RDX	0	-0.2345	0	0	0.23
ADH1B	-0.0944	-0.047	0.3588	-0.1223	0.2296
CCL2	0	-0.0809	0	-0.1288	0.2286
BASP1	0.0223	-0.0057	0	-0.1244	0.2276
ID4	-0.0998	0	0	0	0.2267
MDFIC	0	0	0	-0.0892	0.2238
RASSF8	0	-0.0625	0	0	0.2183
C11orf96	0	-0.0504	0	-0.0452	0.2129
TSPAN2	0	-0.0929	0	0	0.2064
MEIS2	0.1239	0	0	-0.2462	0.2042
AMIGO2	0	0	-0.1191	0	0.199
SHISA2	0	0	0	0	0.1975
APOE	0.3899	-0.0674	-0.1223	-0.1748	0.1969
C5AR1	0.0945	-0.0012	-0.0172	-0.055	0.1913
ZCCHC24	-0.0876	-0.2512	0	0.0882	0.1825
MS4A7	0.2031	-0.0117	0	-0.2421	0.1814
DPYD	0.3389	-0.1117	0	-0.3262	0.1803
PLXNC1	0.1817	0	0	-0.2341	0.1757
CFL2	0	0	0	-0.0022	0.1749
ITGAM	0.1167	0	-0.0376	-0.0827	0.1721
SERPINE1	0	0	0	0	0.1697
SFRP1	0	0	0	0	0.1696
DACT1	0	0.0014	-0.0301	0	0.1685
CLEC2B	0.293	-0.0682	0	-0.2304	0.1652
PAPPA	0	0	0	0	0.1613
APOC1	0.2984	-0.1191	-0.0933	-0.0629	0.1551
RORA	0	-0.1148	0	0	0.1522
CAV2	0.0124	0	0	-0.1146	0.1474
HDGFRP3	0	-0.1806	0	0	0.1447
CCL18	0.4083	-0.1493	0	-0.2446	0.1444
ADAMTS1	0	-0.0193	0	-0.0499	0.1373
TBC1D9	0	-0.1026	0	0	0.1353
KCNMA1	0	0	0	-0.0697	0.1342
SPON1	0	0	0.0617	-0.3125	0.1331
MS4A4A	0.2638	-0.0508	0	-0.2333	0.1295
PDZRN3	0	0	0	0	0.1203
DMD	-0.2224	-0.0806	0	0.1747	0.1199
ABI3BP	0	0	0.0262	0	0.1152
CD163	0.3286	0	0	-0.2196	0.1121
ABCA8	-0.0414	-0.0288	0.1135	0	0.1119
TYROBP	0.263	0	0	-0.1942	0.1082
FCGR1B	0.3114	-0.059	-0.1141	-0.0594	0.1054
NCF2	0.303	0	0	-0.158	0.0996
FCER1G	0.3583	-0.0311	0	-0.2246	0.0924
CXCR4	0.2815	0	0	-0.3503	0.0909
FPR3	0.1715	0	0	-0.082	0.0885
LAPTM5	0.2666	0	0	-0.1998	0.0838
PLA1A	0	-0.0425	-0.0425	0	0.0837
ANXA1	0.1687	0	-0.0087	-0.2138	0.0831
STC1	0.0323	0	-0.0956	0	0.083
BEX4	0	-0.0578	0	0	0.0795
WASF3	-0.0237	-0.0554	0	0	0.0787
SCRN1	0	-0.0812	0	0.0666	0.0756
CHI3L1	0.0141	-0.1499	0	0	0.0754
PMEPA1	-0.2985	0	0	0.2167	0.074
CPE	-0.2802	0	0	0	0.074
SOCS3	0.0681	0	0	-0.0698	0.0668
BHLHE41	0	0	0	-0.1473	0.0667
EVI2A	0.2373	0	0	-0.1574	0.0546
ALOX5AP	0.1023	0	0	-0.092	0.0477
CD14	0.2155	0	0	-0.2552	0.0451
TREM1	0.103	0	-0.0561	0	0.0447
ETV1	0	0	-0.0593	-0.0322	0.0431
TNFSF13B	0.4332	0	-0.0281	-0.1973	0.0427
ITGB2	0.3009	0	0	-0.1837	0.0382
SLAMF8	0.3982	0	-0.0215	-0.1979	0.0355
CLEC7A	0.2954	-0.0099	-0.0172	-0.0839	0.0343
KLF9	0	0	0	-0.1643	0.0338
ENPP2	0	0	0	-0.1075	0.0326
NRXN3	-0.0085	0	-0.0305	0.0889	0.0311
RGS1	0.1966	-0.0132	0	-0.1633	0.0311
KRT80	0	0	-0.2292	0.0388	0.0274
TPSAB1	0	0	0.1991	-0.061	0.0274
SERPINE2	-0.1377	0	0	0.1315	0.027
KCTD12	0.0303	0	0	-0.3168	0.0255
S100A8	0.2099	0	0	-0.1567	0.023
CDKN2B	0	-0.1792	0.3967	-0.1245	0.0219
FCGR3B	0.2736	0	0	-0.1038	0.0214
MS4A6A	0.168	0	0	-0.1139	0.02
CPA3	0	0	0.1955	-0.0899	0.0185
C1QC	0.3111	0	0	-0.1887	0.0149
TPSB2	0	0	0.1966	-0.0626	0.014
GXYLT2	0	0	-0.0385	0.0903	0.0126
SRPX2	-0.1793	-0.2719	0	0.3665	0.0107
HSPA6	0.1683	0	-0.165	0	0.0099
ANO1	0.0451	0.1479	-0.0344	-0.2397	0.0081
EPDR1	-0.3884	-0.1589	0	0.4415	0.0075
HCLS1	0.2762	0	0	-0.2442	0.0063
APOLD1	-0.1946	-0.0759	0	0.2333	0.0053
BCL2A1	0.3177	0	0	-0.1648	0.0025
SRGN	0.2157	0	0	-0.2038	5.00E-04
LY6G6D	-0.4422	-0.2319	0	0.6117	0
EREG	-0.1965	-0.5456	0	0.5013	0
CEL	-0.2926	-0.2292	0	0.4797	0
KRT23	-0.3572	-0.1254	0	0.4685	0
ACSL6	-0.2303	-0.1453	0	0.4613	0
QPRT	-0.4367	0	0	0.4572	0
AXIN2	-0.48	0	0	0.436	0
ABAT	-0.3786	-0.1499	0	0.4343	0
FARP1	-0.3058	-0.0872	0	0.4285	0
CELP	-0.2018	-0.1363	0	0.4263	0
C13orf18	-0.4156	-0.1525	0	0.426	0
HUNK	-0.2609	0	0	0.4218	0
PLCB4	-0.4897	0	0	0.4136	0
APCDD1	-0.3273	0	0	0.4095	0
RNF43	-0.3117	0	0	0.4086	0
ASCL2	-0.1967	0	0	0.4035	0
CHN2	-0.3353	0	0	0.3934	0
AREG	-0.1461	-0.2009	0	0.3823	0
PAH	-0.1139	0	0	0.3687	0
NR1I2	-0.3552	0	0	0.3667	0
FREM2	-0.1792	0	0	0.3607	0
CTTNBP2	-0.3476	0	0	0.3606	0
GNG4	-0.2338	-0.1537	0	0.3511	0
PRR15	-0.2217	0	0	0.3502	0
LOC100288092	-0.1822	-0.0349	0	0.3502	0
CFTR	-0.2225	0	0	0.3464	0
BCL11A	-0.201	0	0	0.3452	0
ERP27	-0.1786	0	0	0.3432	0
PLA2G12B	-0.115	-0.0374	0	0.3421	0
DACH1	-0.5464	0.0663	0	0.3403	0
SPIN3	-0.327	0	-0.0258	0.3389	0
GGH	-0.0849	0	0	0.3381	0
ACE2	-0.2197	-0.0697	0	0.3294	0
PTPRO	-0.338	0	0	0.3288	0
DPEP1	-0.2676	0	0	0.327	0
PROX1	-0.1874	0	0	0.3247	0
ZNRF3	-0.1387	0	-0.0483	0.3199	0
CAB39L	-0.2759	-0.0576	0	0.3197	0
LRRC2	-0.1842	0	0	0.3162	0
REEP1	-0.23	-0.1301	0	0.312	0
CYP2B6	-0.1027	0	0	0.2973	0
LAMP2	-0.1476	0	0	0.2972	0
PPP1R14C	-0.2014	0	0	0.2909	0
CBX5	-0.245	0	0	0.2881	0
NOX1	-0.2615	0	0	0.2878	0
SLC22A3	-0.1052	0	-0.0938	0.2869	0
TCFL5	0	-0.0413	0	0.2846	0
SATB2	-0.1555	-0.0645	0	0.283	0
AREGB	-0.0648	-0.0127	0	0.2791	0
AZGP1	-0.0255	0	0	0.2784	0
TMEM150C	-0.231	0	0	0.2739	0
LOC647979	-0.1853	0	0	0.269	0
LOC100128822	-0.1377	0	0	0.2689	0
CES1	-0.1337	-0.0587	0	0.2642	0
PTCH1	-0.232	0	0	0.263	0
PRSS23	-0.197	0	-0.0032	0.262	0
LOC729680	0	0	0	0.2589	0
ZBTB10	-0.2166	-0.0677	0	0.2584	0
PRAP1	-0.2589	0	0	0.2571	0
PM20D2	-0.0216	-0.096	0	0.2469	0
SESN1	-0.1806	0	-0.0261	0.2444	0
QPCT	-0.1104	0	0	0.2429	0
ATP10B	-0.2544	0	0	0.2413	0
ELAVL2	0	0	0	0.2408	0
CLDN1	0	0	-0.0731	0.2382	0
C12orf66	-0.0349	0	0	0.2374	0
ST6GAL1	0	-0.0604	0	0.236	0
CTSL2	0	0	0	0.2354	0
COL9A3	-0.062	0	0	0.2352	0
FGGY	-0.1413	0	0	0.235	0
GSPT2	-0.2263	0	0	0.2326	0
KIAA1704	-0.0637	-0.0524	0	0.2324	0
CYP4F3	-0.0075	-0.0151	0	0.2295	0
SLC19A3	-0.0222	0	0	0.2258	0
FLJ22763	-0.2682	0	0	0.2222	0
DNAJC6	-0.0255	0	0	0.2166	0
FOXQ1	-0.0192	0	-0.219	0.2165	0
MIR374AHG	-0.2713	0	0	0.2151	0
CDCA7	0	0	0	0.2142	0
MACC1	-0.0934	0	0	0.2136	0
OXGR1	-0.0511	0	0	0.2133	0
PPP2R2C	-0.0238	0	0	0.2101	0
SAMD12	-0.3228	0	0	0.207	0
CDHR1	-0.1486	0	0	0.2067	0
NFIB	-0.3221	0	0	0.2061	0
LOC25845	-0.0573	-0.1104	0.0266	0.2059	0
PRLR	-0.0921	0	0	0.2056	0
PTPRD	-0.1715	0	0	0.2049	0
PLAGL1	-0.1341	0	0	0.196	0
WIF1	-0.0592	0	0	0.1958	0
CADPS	-0.2793	0.1153	0	0.1946	0
TOB1	-0.3904	0	0	0.1943	0
MFAP3L	-0.0401	0	0	0.1941	0
MAP7D2	-0.0732	-0.0514	0	0.1869	0
FAM92A1	-0.0126	0	-0.0275	0.1866	0
MUC20	-0.2974	0	0.0492	0.1832	0
RBM6	-0.3166	0	0	0.1808	0
PLCB1	-0.0974	0	-0.0728	0.1804	0
HMGA2	0	0	-0.0796	0.1802	0
CBFA2T2	-0.1817	0	0	0.1792	0
TNMD	-0.0216	0	0	0.1775	0
FABP6	-0.1468	0	0	0.1764	0
CEACAM6	-0.2263	0	0	0.1748	0
ZNF704	-0.243	0	0	0.1733	0
MYEF2	-0.0974	0	0	0.1697	0
GDF15	0	0	-0.0544	0.1689	0
CXCL14	-0.4991	0	0	0.1688	0
CEACAM5	-0.1925	0	0	0.1687	0
CDH17	-0.1843	0	0	0.1668	0
ENPP5	-0.0607	0	0	0.1612	0
C1orf103	-0.0487	0	0	0.1583	0
HOXA3	-0.0889	0	0	0.1551	0
EIF3B	-0.0227	0	0	0.1548	0
LOC100289610	-0.188	0	0	0.1546	0
ASB9	0	0	-0.1078	0.1527	0
SLC26A2	-0.4098	-0.1876	0.5747	0.1523	0
PHACTR3	-0.0092	-0.1282	0	0.1479	0
GLS	0	-0.0262	-0.0338	0.1478	0
KIAA1199	0	0	-0.2286	0.1423	0
ZAK	0	0	-0.0518	0.1417	0
NR1D2	-0.1145	0	0	0.129	0
RBP1	-0.1254	0	0	0.129	0
ZNF518B	-0.0681	0	0	0.1279	0
GZMB	0.1335	-0.2025	-0.0266	0.1237	0
ANKRD10	-0.1495	0	0	0.1216	0
HENMT1	-0.0707	0	0	0.118	0
PLEKHB1	-0.1526	0	0	0.1167	0
FABP1	-0.399	0	0.2884	0.1166	0
ABCB1	-0.189	0	0	0.1138	0
MSX2	0	0.0851	-0.2452	0.0891	0
PDGFA	-0.1683	0	0.0013	0.0717	0
IL17RD	-0.011	0	-0.1659	0.0663	0
LRRC16A	-0.1702	0.0048	0	0.066	0
MUC12	-0.5343	0	0.4773	0.0633	0
HMGCS2	-0.3122	0.028	0	0.0598	0
FAM134B	-0.1392	0	0.0482	0.0458	0
LEFTY1	-0.2547	0	0.0763	0.0113	0
TRPM6	-0.2627	-0.0093	0.5039	0	0
PCK1	-0.1474	0	0.4049	0	0
EDN3	-0.016	0	0.3932	0	0
SEMA6D	-0.0291	-0.0344	0.3414	0	0
SCARA5	-0.0852	0	0.3278	0	0
METTL7A	-0.1623	0	0.3079	0	0
HPGD	0	-0.0049	0.3033	0	0
CLDN23	0	-0.0373	0.2606	0	0
SEPP1	-0.1604	0	0.2215	0	0
CNTN3	-0.1222	0	0.2168	0	0
SEMA6A	0	0	0.2091	0	0
PRKACB	-0.0976	0	0.2029	0	0
KRT20	-0.3208	0	0.1815	0	0
EDNRB	-0.1973	0	0.163	0	0
PID1	-0.2336	0	0.128	0	0
TSPAN7	-0.15	0	0.1055	0	0
SRI	-0.0689	0	0.0662	0	0
PCCA	-0.0818	0.4502	0	0	0
SMAD9	-0.2481	0.365	0	0	0
KLK11	0	0.2954	0	0	0
PRUNE2	-0.1028	0.2936	0	0	0
C11orf93	0	0.2583	0	0	0
MATN2	-0.0711	0.233	0	0	0
APOBEC1	-0.0036	0.1449	0	0	0
AIM2	0.3861	0	0	0	0
AFAP1-AS1	0.1764	0	0	0	0
CMPK2	0.2217	-0.0104	0	0	0
LY6E	0.2662	-0.049	0	0	0
EPSTI1	0.1185	-0.1598	0	0	0
SLAIN1	0	0.3105	-0.0173	0	0
PIWIL1	0.2906	0	-0.0227	0	0
TNFSF9	0.2803	0	-0.0343	0	0
TMPRSS3	0.1663	0	-0.0531	0	0
ANKRD37	0.1106	0	-0.0552	0	0
WISP3	0	0.2378	-0.0988	0	0
RPL22L1	0.3107	0	-0.1145	0	0
IGF2BP3	0.2673	0	-0.1308	0	0
MFI2	0	0.102	-0.1555	0	0
CA9	0	0.2	-0.1787	0	0
C8orf84	0	0.3554	-0.184	0	0
PMAIP1	0.2598	0	-0.2185	0	0
FRMD5	0.1384	0	-0.2581	0	0
IFIT1	0.0962	-0.1168	0	-0.0045	0
CALB1	0.2348	0	-0.1107	-0.0103	0
ADRB1	0.0125	0.1577	0	-0.0116	0
STAT1	0.4213	0	0	-0.0126	0
MICB	0.2977	0	0	-0.0208	0
ISG15	0.3148	0	0	-0.0216	0
IFI44L	0.2383	-0.0365	0	-0.0293	0
GBP4	0.5181	0	0	-0.0304	0
TLR8	0.2868	0	-0.0144	-0.0312	0
DDX60	0.1355	0	0	-0.0339	0
P2RY14	0	0	0.1921	-0.0349	0
ADAMDEC1	0	0	0.2241	-0.0421	0
CPM	0	0	0.3583	-0.0446	0
LCK	0.3028	0	0	-0.046	0
GBP5	0.49	0	-0.0152	-0.0474	0
IFIT2	0.2739	-0.0225	0	-0.0503	0
PLA2G7	0.2799	-0.0206	0	-0.0551	0
OAS2	0.2432	0	0	-0.0603	0
RSAD2	0.2188	-0.1364	0	-0.0635	0
XAF1	0.2921	0	0	-0.0641	0
PNMA2	0.0477	0.0594	-0.1392	-0.0683	0
MMP12	0.2904	0	0	-0.07	0
KIAA1211	0	0	0.115	-0.073	0
APOBEC3G	0.4443	-0.0042	0	-0.0731	0
IFI44	0.3353	0	0	-0.074	0
EPHA4	0	0.346	0	-0.075	0
FAM26F	0.4467	0	0	-0.0821	0
GIMAP6	0.1788	0	0	-0.0837	0
HSPA2	-0.0469	0.3272	0	-0.0885	0
CXCL11	0.4731	0	0	-0.0907	0
MNDA	0.1817	0	0	-0.0952	0
CCL4	0.3826	0	0	-0.0976	0
TRBC1	0.2654	0	0	-0.1004	0
TAGAP	0.1869	0	0	-0.1035	0
FGFR2	0	0.1763	0	-0.1081	0
CD55	0.0466	0.1687	0	-0.1089	0
CXCL9	0.5397	0	-0.0055	-0.1101	0
CYBB	0.2122	0	0	-0.1111	0
PLK2	0.2547	0	-0.061	-0.1115	0
IL1RN	0.2248	0	0	-0.114	0
HOXC6	0.4209	0	-0.2279	-0.1143	0
BTN3A3	0.1554	0	0	-0.1162	0
BAG2	0.2725	0	0	-0.1189	0
IGLL3P	0	0	0.0601	-0.1194	0
PLA2G4A	0.1896	0.1581	0	-0.1209	0
BST2	0.4116	0	0	-0.1213	0
HLA-DMB	0.382	0	0	-0.1217	0
SLAMF7	0.312	0	0	-0.1229	0
IGLV1-44	0.0202	0	0.1734	-0.1247	0
IFIT3	0.3968	0	0	-0.126	0
GBP1	0.5015	-0.0061	0	-0.1332	0
IGJ	0	0	0.4497	-0.1364	0
FSCN1	0.1698	0	-0.0764	-0.1381	0
FYB	0.2848	0	0	-0.1386	0
CXCL10	0.5197	0	0	-0.1394	0
CD74	0.3213	0	0	-0.1423	0
SERPINB5	0.1117	0.1027	0	-0.1425	0
IFI6	0.2833	0	0	-0.147	0
FGL2	0.1238	0	0	-0.1474	0
PRKAR2B	0.0934	0	0	-0.1513	0
POU2AF1	0	0	0.131	-0.1532	0
BIRC3	0.4733	0	0	-0.1535	0
EPB41L3	0	0	0.1808	-0.1547	0
MPEG1	0.091	0	0	-0.1574	0
IGKC	0	0	0.0947	-0.1618	0
CCL8	0.3808	-0.0649	0	-0.1634	0
IFI16	0.2516	0	0	-0.17	0
MT1F	0.1194	0	0.113	-0.1761	0
CSF2RB	0.2068	0	0	-0.1775	0
SAMD9	0.1828	0	0	-0.1809	0
LYZ	0.2329	0.1665	0	-0.1816	0
MMP28	0	0.0164	0.2038	-0.1829	0
CCL5	0.5145	0	0	-0.1855	0
HLA-DPA1	0.4238	0	0	-0.1885	0
HLA-DMA	0.4118	0	0	-0.191	0
KYNU	0.4072	0	-0.0714	-0.1914	0
CFD	0.0805	0	0	-0.1943	0
CD69	0.2467	0	0	-0.1981	0
ITM2A	0.0869	0	0	-0.1983	0
TRIM22	0.2913	0	0	-0.2005	0
MT1M	0	0	0.5267	-0.2011	0
C1QA	0.3547	0	0	-0.2015	0
HLA-DPB1	0.3403	0	0	-0.2053	0
LCP2	0.3956	-0.0091	0	-0.2147	0
MT1G	0.1359	0	0.0953	-0.2166	0
C1QB	0.3862	0	0	-0.221	0
CD53	0.3244	0	0	-0.2255	0
CYTIP	0.1751	0	0	-0.2264	0
SAMSN1	0.344	0	0	-0.2288	0
HLA-DRA	0.3527	0	0	-0.255	0
CD52	0.2716	0	0	-0.2573	0
EVI2B	0.2485	0	0	-0.2577	0
MT1H	0.1867	0	0.0606	-0.2578	0
PTPRC	0.3709	-0.0259	0	-0.2584	0
SAMD9L	0.4904	0	0	-0.2659	0
DAPK1	0.1474	0.1093	-0.0256	-0.2736	0
DUSP4	0.3433	0.3562	-0.2053	-0.2761	0
RARRES3	0.5944	0	0	-0.2781	0
MT1X	0.2251	0	0	-0.2785	0
DOCK8	0.2125	0	0	-0.2859	0
MT2A	0.2765	0	0	-0.288	0
CRIP1	0.227	0.1036	0	-0.2928	0
CXCL13	0.6193	-0.0086	0	-0.2928	0
MT1E	0.2144	0	0.1515	-0.3251	0
ALOX5	0.116	0.1858	0	-0.3513	0
RARRES1	0.1835	0	0	-0.3703	0
GRM8	-0.1842	0	0	0.3559	-0.0017
FAM55D	-0.2397	0	0.4172	0	-0.0021
ABP1	-0.3797	0	0.1849	0.0557	-0.0035
LOC401022	0	0	0.1009	-0.0626	-0.0046
ISX	-0.2577	0	0.2822	0.1497	-0.0047
CDC6	0.044	0	-0.1237	0.028	-0.0047
FAM105A	-0.2265	0	0	0.2478	-0.005
IDO1	0.5825	0	0	-0.0333	-0.0055
SLC28A3	0.1386	0.2023	-0.109	0	-0.006
CDK6	-0.0651	0.0397	0	0.1329	-0.0062
TFF2	0.1662	0.0636	0	0	-0.0067
PITX2	0	0	0	0.1789	-0.0068
NEBL	-0.0922	0	0	0.2638	-0.0069
ANXA10	0.2257	0	-0.0479	0	-0.0071
GPR160	-0.0944	0	0	0.2195	-0.0073
